,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment,Type ,Markets,Top Markets,Zone,Print-run,Publication,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26
Roadways & Travel,Direct PO,1 - Total,All markets,South 1,,1-TOI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.1,1.1,1.2,1.2,1.2,1.1,1.3,1.6,1.6,1.6,3.2,1.7,1.9,1.9,1.9,1.9,1.9
Hotel,Direct PO,1 - Total,All markets,South 1,,1-TOI,1.3,1.3,1.3,1.3,1.3,1.3,1.3,2.4,2.4,2.4,2.0,1.9,1.9,1.9,1.9,2.0,1.9,1.9,1.9,1.9,1.8,1.9,1.9,1.9,1.9
Hospital,Direct PO,1 - Total,All markets,South 1,,1-TOI,1.0,1.0,1.0,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.3,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.3,1.3
Offices & Banks,Direct PO,1 - Total,All markets,South 1,,1-TOI,0.4,0.3,0.4,0.6,0.4,0.9,0.7,0.4,0.7,0.8,0.7,0.9,1.0,0.7,2.0,1.5,0.5,0.6,1.0,1.0,0.9,0.8,0.9,0.9,0.9
Saloon & Spa,Direct PO,1 - Total,All markets,South 1,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOI IC,Direct PO,1 - Total,All markets,South 1,,1-TOI,0.9,1.4,1.4,1.3,2.0,3.6,4.6,6.0,6.2,4.0,3.5,2.7,2.7,2.5,1.6,2.4,5.5,5.9,8.2,7.7,7.4,6.9,6.5,7.4,7.0
ET IC,Direct PO,1 - Total,All markets,South 1,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCD,Direct PO,1 - Total,All markets,South 1,,1-TOI,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
CSP,Direct PO,1 - Total,All markets,South 1,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3
Sponsorship,Direct PO,1 - Total,All markets,South 1,,1-TOI,3.7,0.5,2.3,2.5,1.9,1.6,1.6,1.3,1.7,1.7,1.9,2.0,2.0,2.7,1.9,2.3,1.4,0.2,0.2,1.0,3.3,3.1,3.6,2.5,2.2
Airport,Direct PO,1 - Total,All markets,South 2,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,8.4,9.7,10.0,10.0,10.6,10.8,10.8,10.6,9.8,8.5,8.6,11.3,10.4,9.1,8.6,7.9,8.6
Airlines ,Direct PO,1 - Total,All markets,South 2,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Railways ,Direct PO,1 - Total,All markets,South 2,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,9.3,9.2,9.5,9.7,9.9,9.7,9.7,9.9,9.6,9.6,9.9,10.5,10.0,9.3,9.3,9.3,9.3
Metro Railways,Direct PO,1 - Total,All markets,South 2,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.9,4.9,5.3,5.3,5.3,5.3,5.3,5.3,5.1,5.3,5.3,5.3,5.3,5.3,5.3
Roadways & Travel,Direct PO,1 - Total,All markets,South 2,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,1.4,1.4,1.7,1.7,2.1,2.2,2.1,2.1,2.1,2.1,2.1,2.0,2.0,2.0,1.9,1.9
Hotel,Direct PO,1 - Total,All markets,South 2,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,4.1,3.2,3.2,3.4,3.4,3.3,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,2.9
Hospital,Direct PO,1 - Total,All markets,South 2,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Offices & Banks,Direct PO,1 - Total,All markets,South 2,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.5,0.5,1.0,1.0,1.1,1.0,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.1,1.1
Saloon & Spa,Direct PO,1 - Total,All markets,South 2,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOI IC,Direct PO,1 - Total,All markets,South 2,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,4.2,3.9,4.3,4.5,4.7,4.6,3.7,1.6,2.6,5.2,5.9,5.4,4.9,3.3,3.8,3.8,3.6
ET IC,Direct PO,1 - Total,All markets,South 2,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCD,Direct PO,1 - Total,All markets,South 2,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
