,,,,,,,,,,,,,,,,,,Chain name,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,,,,,,,,Hotel,,,,,,,,,,Hospitals,,,,,,,,,,Railways,,,,,,,,Roadways,,,,,,,,Offices & Banks,,,,,,,,CCD,,,,,,,,Chaayos,,,,,,,,Campus TOIC,,,,,,,,Campus ETIC,,
Zone,City,Sum of TOI,Sum of ET,Sum of NBT,Sum of MT,TOTAL,,Dec 25 PO,,Cat,,,,,,,,Zone,City name, TOI , ET , NBT , MT ,TOTAL,,,,Zone,Train type, TOI , ET , NBT , MT ,TOTAL,,Zone,City name,Sum of TOI,Sum of ET,Sum of NBT,Sum of MT,TOTAL,,Zone,City name,TOI,ET,NBT,MT,TOTAL,,State,City,Sum of # TOI,Sum of # ET,Sum of # NBT,Sum of # MT,TOTAL,,Region,City,Sum of TOI,Sum of ET,Sum of NBT,Sum of MT,TOTAL,,Zone,City name,PO,,,,,,Zone,City name,PO
,,,,,,,,South 2,Vizag,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North,LUCKNOW,,,,,,,West 1,Saquelim, 28 
,,,,,,,,West 1,Aurangabad,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North,Noida,,,,,,,West 1,Vasco, 2 
,,,,,,,,West 1,Goa,,,, 917 , 917 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North,SANDILA,,,,,,,West-2,Ahmedabad," 1,079 "
,,,,,,,,West 1,Indore,,,, 221 , 221 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North,SHIVPURI ,,,,,,,West-2,Anand, 1 
,,,,,,,,West 1,Mumbai,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North,Sonipat,,,,,,,West-2,BC-1,
,,,,,,,,West 1,Nashik,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South 1,Bangalore," 12,120 ",,,,,,West-2,BHUSARI COLONY,
,,,,,,,,West 2,Ahmedabad,,,, 496 , 496 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South 1,ROK -Mysore,,,,,,,West-2,DECCAN,
,,,,,,,,West 2,Nagpur,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South 1,ROK-Hubli,,,,,,,West-2,Gandhinagar, -   
,,,,,,,,West 2,Pune,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South 1,ROK-Mangalore,,,,,,,West-2,KALEWADI,
,,,,,,,,West 2,Raipur ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South 2,Chennai,,,,,,,West-2,KOPARGAON,
